symbol,trades,wins,losses,win_rate,net_pnl
PTHL,8,6,2,75.0,3.5200000000000014
TDUP,31,21,10,67.74193548387096,2.624000000000003
TMC,21,14,7,66.66666666666666,8.182000000000002
SPRO,11,7,4,63.63636363636363,0.18500000000000116
AEVA,36,22,14,61.111111111111114,21.894999999999996
SRM,5,3,2,60.0,2.6111999999999984
GRPN,29,17,12,58.620689655172406,1.2980000000000018
ERNA,6,3,3,50.0,-0.3500000000000001
OTLY,16,8,8,50.0,-0.5900000000000001
OCG,27,13,14,48.148148148148145,2.7826000000000013
TMCWW,22,10,12,45.45454545454545,1.8936000000000002
DUO,9,4,5,44.44444444444444,-1.774900000000001
FGEN,7,3,4,42.857142857142854,-0.6401999999999992
HOVRW,13,5,8,38.46153846153847,0.1271
WBX,0,0,0,0.0,0.0
